Data,ca.f,cb.f,cc.f,ck.f,cl.f,ct.f,dl.f,fi.f,gc.f,gf.f,he.f,hg.f,ho.f,kc.f,ke.f,le.f,lf.f,ls.f,lu.f,mw.f,ng.f,oj.f,pa.f,pl.f,rb.f,rm.f,rs.f,sb.f,si.f,sw.f,tr.f,ux.f,xr.f,zc.f,zk.f,zl.f,zm.f,zo.f,zr.f,zs.f,zw.f
2006-12-18,909.0,62.13,1657.0,,62.74,54.81,13.51,,617.6,100.0,61.87,302.65,1.7307,124.45,503.0,90.47,543.75,261.0,68.05,502.0,7.065,201.4,325.0,1104.5,1.6622,,353.1,12.03,1250.0,352.1,,,275.5,365.75,2.35,27.71,184.9,260.0,9.9,648.0,487.5
2006-12-19,917.0,62.81,1691.0,,63.35,55.03,13.5,,625.1,99.0,62.72,301.5,1.729,123.0,502.0,90.07,536.75,259.4,68.05,502.25,7.075,197.0,328.75,1123.0,1.7005,,356.2,12.04,1267.0,348.5,,,274.75,373.0,2.35,28.0,185.5,269.75,9.9,653.5,492.0
2006-12-20,889.0001,63.23,1628.0,,63.63,54.62,13.5,,623.9,98.85,62.45,295.3,1.778,126.75,504.25,90.35,548.75,259.6,68.05,504.25,6.79,198.5,327.7,1123.0,1.6759,,354.4,11.99,1265.0,346.5,,,275.0,372.75,2.385,28.0,184.7,270.25,9.96,648.25,493.75
2006-12-21,896.0,62.46,1645.0,,62.61,55.37,13.53,,621.1,98.25,62.7,287.8,1.7536,126.35,508.25,89.87,538.5,268.7,68.0,508.5,6.81,198.0,327.25,1120.5,1.6421,,358.9,11.9,1243.0,346.6,,,275.5,376.25,2.407,28.1,185.2,272.75,9.99,650.25,503.25
2006-12-22,883.0,62.42,1627.0,,62.33,55.78,13.47,,622.7,97.32,63.05,285.55,1.724,125.4,518.0,89.82,537.75,267.5,68.0,518.0,6.619,198.0,327.7,1126.0,1.6230000000000002,,368.8,11.92,1263.0,346.6,,,275.25,382.25,2.39,28.42,186.9,274.0,10.01,659.5,514.0
2006-12-26,,61.1,1621.0,,61.02,56.61,13.49,,626.4,96.92,62.35,287.45,1.6638,127.7,520.0,90.1,519.25,270.2,68.0,521.25,6.071000000000001,198.7,329.0,1120.1,1.5722,,,11.86,1270.0,,,,,386.75,2.363,28.86,188.4,276.75,10.11,671.5,516.75
2006-12-27,889.0001,60.52,1637.0,,60.22,56.38,13.53,,629.8,98.75,62.47,291.15,1.6577,128.9,512.0,92.07,524.75,270.2,67.95,513.0,6.15,200.65,327.5,1113.2,1.5875,,371.0,11.79,1284.0,344.2,,,278.0,385.5,2.426,28.86,188.5,276.25,10.18,669.5,507.0
2006-12-28,884.0,60.67,1634.0,,60.31,56.96,13.48,,636.6,99.3,62.05,289.2,1.6495,125.0,512.25,92.55,520.5,268.3,68.0,512.25,6.247999999999999,199.25,328.7,1111.3,1.5821,,370.7,11.86,1290.0,344.9,,,279.5,387.5,2.435,29.18,188.7,277.75,10.15,675.75,504.25
2006-12-29,888.0,60.86,1635.0,,60.78,56.19,13.2,,638.0,99.6,61.7,284.95,1.6495,126.2,509.75,92.5,516.5,268.0,68.0,518.5,6.29,201.25,338.95,1142.0,1.5419,,372.0,11.75,1291.0,342.8,,72.0,278.0,388.25,2.4930000000000003,29.26,191.9,271.0,10.13,683.5,501.0
2007-01-02,889.9999,60.44,,,60.73,,,,641.8,,,277.9,1.645,,,,518.25,,67.5,,6.265,,339.0,1139.0,,,372.5,,1324.0,343.0,,,279.75,,,,,,,,
